movie,city,theater_count,estimated_city_gross
Running Scared,Houston,50,"$14,970.99"
RocknRolla,Houston,50,"$12,436.05"
Captain Phillips,Houston,50,"$233,898.50"
Out of the Furnace,Houston,50,"$24,736.78"
Minions,Houston,50,"$733,893.30"
Green Room,Houston,50,"$7,030.07"
Lucky Number Slevin,Houston,50,"$49,125.91"
Spring Breakers,Houston,50,"$30,845.03"
S.W.A.T.,Houston,50,"$255,374.61"
Pineapple Express,Houston,50,"$190,745.60"
Savages,Houston,50,"$103,478.11"
I Saw the Devil,Houston,50,$280.40
Point Break,Houston,50,"$62,858.31"
Monster,Houston,50,"$75,277.61"
Lawless,Houston,50,"$81,678.46"
The Hate U Give,Houston,50,"$64,904.64"
Black Mass,Houston,50,"$136,659.57"
Widows,Houston,50,"$92,603.48"
End of Watch,Houston,50,"$89,547.62"
The Forever Purge,Houston,50,"$97,269.65"
Perfume: The Story of a Murderer,Houston,50,"$4,855.47"
Eastern Promises,Houston,50,"$37,377.34"
The Hitman's Bodyguard,Houston,50,"$164,816.50"
Megamind,Houston,50,"$324,126.68"
Dogville,Houston,50,"$3,342.22"
The Mexican,Houston,50,"$145,903.92"
Rambo: Last Blood,Houston,50,"$41,216.73"
The Cell,Houston,50,"$133,947.99"
Smokin' Aces,Houston,50,"$77,884.15"
Four Brothers,Houston,50,"$162,688.93"
Blow,Houston,50,"$115,727.02"
The Pledge,Houston,50,"$43,066.53"
Gone in 60 Seconds,Houston,50,"$221,991.20"
Inferno,Houston,50,"$75,003.23"
Ghost in the Shell,Houston,50,"$88,587.11"
The Mule,Houston,50,"$226,699.35"
The Danish Girl,Houston,50,"$24,272.00"
Deja Vu,Houston,50,"$139,854.49"
The Punisher,Houston,50,"$73,559.01"
Felon,Houston,50,$80.27
Blackhat,Houston,50,"$15,499.47"
Dredd,Houston,50,"$29,296.51"
Public Enemies,Houston,50,"$212,067.63"
The Guard,Houston,50,"$11,705.26"
Funny Games,Houston,50,"$2,827.38"
The Snowman,Houston,50,"$14,568.34"
Miss Congeniality,Houston,50,"$233,258.20"
Sin City: A Dame to Kill For,Houston,50,"$30,045.79"
Super Troopers,Houston,50,"$40,376.79"
Tell No One,Houston,50,"$13,490.42"
In the Bedroom,Houston,50,"$78,469.16"
Good Time,Houston,50,"$4,425.69"
R.I.P.D.,Houston,50,"$73,420.51"
The Heat,Houston,50,"$348,512.94"
Runaway Jury,Houston,50,"$107,980.37"
Daredevil,Houston,50,"$223,945.69"
The Bank Job,Houston,50,"$65,649.74"
Bronson,Houston,50,$228.86
The Raid: Redemption,Houston,50,"$8,965.35"
The Brothers Grimsby,Houston,50,"$14,990.38"
Lord of War,Houston,50,"$52,740.59"
Papillon,Houston,50,"$5,101.38"
Austin Powers in Goldmember,Houston,50,"$465,844.97"
Ocean's Twelve,Houston,50,"$274,177.25"
The Girl in the Spider's Web,Houston,50,"$32,412.13"
Hitman,Houston,50,"$86,674.30"
The Old Man & the Gun,Houston,50,"$24,628.20"
Live by Night,Houston,50,"$22,665.82"
Before the Devil Knows You're Dead,Houston,50,"$15,468.68"
Alpha Dog,Houston,50,"$33,259.46"
Fracture,Houston,50,"$85,205.24"
Crank,Houston,50,"$60,777.91"
Kiss Kiss Bang Bang,Houston,50,"$9,267.98"
Bolt,Houston,50,"$249,082.61"
Freedom Writers,Houston,50,"$79,943.29"
The Girl with the Dragon Tattoo,Houston,50,"$22,046.93"
Charlie's Angels,Houston,50,"$273,655.88"
Inherent Vice,Houston,50,"$17,713.63"
The Transporter,Houston,50,"$55,245.13"
The Pink Panther,Houston,50,"$179,575.12"
RoboCop,Houston,50,"$127,992.36"
Walking Tall,Houston,50,"$101,415.74"
Ocean's Thirteen,Houston,50,"$255,855.23"
CHIPS,Houston,50,"$40,621.03"
Going in Style,Houston,50,"$98,316.39"
The American,Houston,50,"$77,761.08"
Frequency,Houston,50,"$98,298.34"
The Family,Houston,50,"$80,627.31"
Killing Them Softly,Houston,50,"$32,815.54"
Muppets Most Wanted,Houston,50,"$111,779.25"
The Best Offer,Houston,50,$186.58
Calvary,Houston,50,"$7,847.79"
The Taking of Pelham 123,Houston,50,"$142,941.88"
Pain & Gain,Houston,50,"$108,923.08"
You Were Never Really Here,Houston,50,"$5,511.33"
Be Cool,Houston,50,"$122,401.49"
Kick-Ass 2,Houston,50,"$62,887.80"
Horrible Bosses 2,Houston,50,"$118,903.69"
Chappie,Houston,50,"$68,944.40"
Triple 9,Houston,50,"$27,576.01"
Stand Up Guys,Houston,50,"$7,209.18"
Miami Vice,Houston,50,"$138,570.04"
Boiler Room,Houston,50,"$36,991.44"
Don't Breathe 2,Houston,50,"$71,278.50"
The Judge,Houston,50,"$102,904.44"
War,Houston,50,"$49,108.27"
Brick,Houston,50,"$4,500.14"
Despicable Me 2,Houston,50,"$803,812.22"
21 Grams,Houston,50,"$35,576.91"
Bastille Day,Houston,50,$85.17
The Next Three Days,Houston,50,"$46,186.72"
Takers,Houston,50,"$126,109.20"
The Number 23,Houston,50,"$76,858.67"
Drishyam,Houston,50,"$1,614.95"
All the Money in the World,Houston,50,"$54,829.90"
White Boy Rick,Houston,50,"$52,438.24"
Identity Thief,Houston,50,"$293,750.84"
Halloween,Houston,50,"$347,988.42"
Green Street Hooligans,Houston,50,$751.47
Machete,Houston,50,"$58,078.10"
The Big Bounce,Houston,50,"$14,132.93"
Regression,Houston,50,$119.53
Panic Room,Houston,50,"$210,522.98"
Revolver,Houston,50,$164.71
Once Upon a Time in Mexico,Houston,50,"$123,084.62"
The Hunted,Houston,50,"$74,774.00"
Frailty,Houston,50,"$28,617.56"
A Most Violent Year,Houston,50,"$12,536.31"
"Roman J. Israel, Esq.",Houston,50,"$26,125.47"
Tower Heist,Houston,50,"$170,446.59"
Despicable Me 3,Houston,50,"$577,915.33"
Phone Booth,Houston,50,"$101,696.36"
RED 2,Houston,50,"$116,320.57"
ATL,Houston,50,"$46,211.70"
Official Secrets,Houston,50,$863.76
Deliver Us from Evil,Houston,50,"$66,777.64"
The Whole Nine Yards,Houston,50,"$125,056.06"
Man on a Ledge,Houston,50,"$40,664.38"
Notes on a Scandal,Houston,50,"$38,237.34"
Disturbia,Houston,50,"$175,170.65"
The Mechanic,Houston,50,"$63,598.69"
Super,Houston,50,$703.56
The Raid 2,Houston,50,"$5,737.58"
Big Eyes,Houston,50,"$31,622.51"
Homefront,Houston,50,"$44,024.31"
Gangster Squad,Houston,50,"$100,461.77"
Shoplifters,Houston,50,"$7,236.41"
Elephant,Houston,50,"$2,679.66"
Hoodwinked!,Houston,50,"$112,223.67"
Snowden,Houston,50,"$47,145.17"
The Black Dahlia,Houston,50,"$49,177.97"
Sexy Beast,Houston,50,"$15,169.55"
Into the Blue,Houston,50,"$40,341.96"
Rush Hour 2,Houston,50,"$493,922.16"
Nerve,Houston,50,"$84,263.12"
Miss Congeniality 2: Armed & Fabulous,Houston,50,"$105,871.54"
Heartbreakers,Houston,50,"$88,091.47"
This Is England,Houston,50,$716.15
The Devil's Rejects,Houston,50,"$37,224.68"
A Scanner Darkly,Houston,50,"$12,015.03"
The Raven,Houston,50,"$34,960.61"
30 Minutes or Less,Houston,50,"$80,922.39"
Wild Card,Houston,50,$6.99
The Score,Houston,50,"$155,210.14"
