movie,city,theater_count,estimated_city_gross
Cold Pursuit,Los Angeles,50,"$126,010.83"
Horrible Bosses,Los Angeles,50,"$460,848.04"
American Made,Los Angeles,50,"$201,302.96"
The Girl on the Train,Los Angeles,50,"$295,610.69"
Faster,Los Angeles,50,"$91,120.04"
Red Dragon,Los Angeles,50,"$365,224.39"
Logan Lucky,Los Angeles,50,"$108,924.33"
War Dogs,Los Angeles,50,"$168,730.81"
Don't Breathe,Los Angeles,50,"$349,807.62"
Southpaw,Los Angeles,50,"$205,537.27"
Side Effects,Los Angeles,50,"$126,143.73"
Fruitvale Station,Los Angeles,50,"$63,116.81"
22 Jump Street,Los Angeles,50,"$751,697.84"
Burn After Reading,Los Angeles,50,"$236,642.71"
3:10 to Yuma,Los Angeles,50,"$210,183.30"
Broken City,Los Angeles,50,"$77,244.80"
Running Scared,Los Angeles,50,"$26,877.79"
RocknRolla,Los Angeles,50,"$22,326.75"
Captain Phillips,Los Angeles,50,"$419,923.64"
Out of the Furnace,Los Angeles,50,"$44,410.53"
Minions,Los Angeles,50,"$1,317,576.43"
Green Room,Los Angeles,50,"$12,621.25"
Lucky Number Slevin,Los Angeles,50,"$88,196.93"
Spring Breakers,Los Angeles,50,"$55,376.83"
S.W.A.T.,Los Angeles,50,"$458,480.22"
Pineapple Express,Los Angeles,50,"$342,450.21"
Savages,Los Angeles,50,"$185,776.77"
I Saw the Devil,Los Angeles,50,$503.40
Point Break,Los Angeles,50,"$112,851.05"
Monster,Los Angeles,50,"$135,147.72"
Lawless,Los Angeles,50,"$146,639.33"
The Hate U Give,Los Angeles,50,"$116,524.87"
Black Mass,Los Angeles,50,"$245,348.24"
Widows,Los Angeles,50,"$166,253.27"
End of Watch,Los Angeles,50,"$160,767.01"
The Forever Purge,Los Angeles,50,"$174,630.56"
Perfume: The Story of a Murderer,Los Angeles,50,"$8,717.14"
Eastern Promises,Los Angeles,50,"$67,104.45"
The Hitman's Bodyguard,Los Angeles,50,"$295,899.06"
Megamind,Los Angeles,50,"$581,912.49"
Dogville,Los Angeles,50,"$6,000.37"
The Mexican,Los Angeles,50,"$261,944.84"
Rambo: Last Blood,Los Angeles,50,"$73,997.40"
The Cell,Los Angeles,50,"$240,480.07"
Smokin' Aces,Los Angeles,50,"$139,827.30"
Four Brothers,Los Angeles,50,"$292,079.38"
Blow,Los Angeles,50,"$207,767.52"
The Pledge,Los Angeles,50,"$77,318.38"
Gone in 60 Seconds,Los Angeles,50,"$398,546.19"
Inferno,Los Angeles,50,"$134,655.12"
Ghost in the Shell,Los Angeles,50,"$159,042.58"
The Mule,Los Angeles,50,"$406,998.85"
The Danish Girl,Los Angeles,50,"$43,576.11"
Deja Vu,Los Angeles,50,"$251,084.16"
The Punisher,Los Angeles,50,"$132,062.28"
Felon,Los Angeles,50,$144.11
Blackhat,Los Angeles,50,"$27,826.58"
Dredd,Los Angeles,50,"$52,596.74"
Public Enemies,Los Angeles,50,"$380,730.16"
The Guard,Los Angeles,50,"$21,014.73"
Funny Games,Los Angeles,50,"$5,076.06"
The Snowman,Los Angeles,50,"$26,154.90"
Miss Congeniality,Los Angeles,50,"$418,774.10"
