movie,city,theater_count,estimated_city_gross
RocknRolla,Miami,50,"$2,297.30"
Captain Phillips,Miami,50,"$43,207.76"
Out of the Furnace,Miami,50,"$4,569.59"
Minions,Miami,50,"$135,571.15"
Green Room,Miami,50,"$1,298.65"
Lucky Number Slevin,Miami,50,"$9,074.96"
Spring Breakers,Miami,50,"$5,697.96"
S.W.A.T.,Miami,50,"$47,175.02"
Pineapple Express,Miami,50,"$35,236.19"
Savages,Miami,50,"$19,115.38"
I Saw the Devil,Miami,50,$51.80
Point Break,Miami,50,"$11,611.73"
Monster,Miami,50,"$13,905.93"
Lawless,Miami,50,"$15,088.36"
The Hate U Give,Miami,50,"$11,989.75"
Black Mass,Miami,50,"$25,244.94"
Widows,Miami,50,"$17,106.52"
End of Watch,Miami,50,"$16,542.01"
The Forever Purge,Miami,50,"$17,968.49"
Perfume: The Story of a Murderer,Miami,50,$896.94
Eastern Promises,Miami,50,"$6,904.67"
The Hitman's Bodyguard,Miami,50,"$30,446.34"
Megamind,Miami,50,"$59,875.50"
Dogville,Miami,50,$617.40
The Mexican,Miami,50,"$26,952.64"
Rambo: Last Blood,Miami,50,"$7,613.91"
The Cell,Miami,50,"$24,744.04"
Smokin' Aces,Miami,50,"$14,387.44"
Four Brothers,Miami,50,"$30,053.31"
Blow,Miami,50,"$21,378.10"
The Pledge,Miami,50,"$7,955.62"
Gone in 60 Seconds,Miami,50,"$41,008.14"
Inferno,Miami,50,"$13,855.25"
Ghost in the Shell,Miami,50,"$16,364.58"
The Mule,Miami,50,"$41,877.87"
The Danish Girl,Miami,50,"$4,483.73"
Deja Vu,Miami,50,"$25,835.14"
The Punisher,Miami,50,"$13,588.46"
Felon,Miami,50,$14.83
Blackhat,Miami,50,"$2,863.20"
Dredd,Miami,50,"$5,411.91"
Public Enemies,Miami,50,"$39,174.98"
The Guard,Miami,50,"$2,162.30"
Funny Games,Miami,50,$522.30
The Snowman,Miami,50,"$2,691.19"
Miss Congeniality,Miami,50,"$43,089.48"
Sin City: A Dame to Kill For,Miami,50,"$5,550.32"
Super Troopers,Miami,50,"$7,458.75"
Tell No One,Miami,50,"$2,492.07"
In the Bedroom,Miami,50,"$14,495.51"
Good Time,Miami,50,$817.55
R.I.P.D.,Miami,50,"$13,562.87"
The Heat,Miami,50,"$64,380.34"
Runaway Jury,Miami,50,"$19,947.07"
Daredevil,Miami,50,"$41,369.19"
The Bank Job,Miami,50,"$12,127.39"
Bronson,Miami,50,$42.28
The Raid: Redemption,Miami,50,"$1,656.16"
The Brothers Grimsby,Miami,50,"$2,769.15"
Lord of War,Miami,50,"$9,742.70"
Papillon,Miami,50,$942.37
Austin Powers in Goldmember,Miami,50,"$86,054.93"
Ocean's Twelve,Miami,50,"$50,648.40"
The Girl in the Spider's Web,Miami,50,"$5,987.45"
Hitman,Miami,50,"$16,011.23"
The Old Man & the Gun,Miami,50,"$4,549.54"
Live by Night,Miami,50,"$4,187.03"
Before the Devil Knows You're Dead,Miami,50,"$2,857.51"
Alpha Dog,Miami,50,"$6,143.98"
Fracture,Miami,50,"$15,739.85"
Crank,Miami,50,"$11,227.42"
Kiss Kiss Bang Bang,Miami,50,"$1,712.06"
Bolt,Miami,50,"$46,012.70"
Freedom Writers,Miami,50,"$14,767.82"
The Girl with the Dragon Tattoo,Miami,50,"$4,072.70"
Charlie's Angels,Miami,50,"$50,552.09"
Inherent Vice,Miami,50,"$3,272.22"
The Transporter,Miami,50,"$10,205.36"
The Pink Panther,Miami,50,"$33,172.68"
RoboCop,Miami,50,"$23,643.86"
Walking Tall,Miami,50,"$18,734.40"
Ocean's Thirteen,Miami,50,"$47,263.80"
CHIPS,Miami,50,"$7,503.87"
Going in Style,Miami,50,"$18,161.86"
The American,Miami,50,"$14,364.70"
Frequency,Miami,50,"$18,158.52"
The Family,Miami,50,"$14,894.18"
Killing Them Softly,Miami,50,"$6,061.97"
Muppets Most Wanted,Miami,50,"$20,648.83"
The Best Offer,Miami,50,$34.47
Calvary,Miami,50,"$1,449.71"
The Taking of Pelham 123,Miami,50,"$26,405.47"
Pain & Gain,Miami,50,"$20,121.22"
You Were Never Really Here,Miami,50,"$1,018.10"
Be Cool,Miami,50,"$22,611.07"
Kick-Ass 2,Miami,50,"$11,617.18"
Horrible Bosses 2,Miami,50,"$21,964.92"
Chappie,Miami,50,"$12,736.01"
Triple 9,Miami,50,"$5,094.08"
Stand Up Guys,Miami,50,"$1,331.74"
Miami Vice,Miami,50,"$25,597.86"
Boiler Room,Miami,50,"$6,833.38"
Don't Breathe 2,Miami,50,"$13,167.18"
The Judge,Miami,50,"$19,009.40"
War,Miami,50,"$9,071.71"
Brick,Miami,50,$831.30
Despicable Me 2,Miami,50,"$148,487.18"
21 Grams,Miami,50,"$6,572.08"
Bastille Day,Miami,50,$15.73
The Next Three Days,Miami,50,"$8,532.01"
Takers,Miami,50,"$23,295.99"
The Number 23,Miami,50,"$14,198.00"
Drishyam,Miami,50,$298.33
All the Money in the World,Miami,50,"$10,128.66"
White Boy Rick,Miami,50,"$9,686.85"
Identity Thief,Miami,50,"$54,264.21"
Halloween,Miami,50,"$64,283.44"
Green Street Hooligans,Miami,50,$138.82
