movie,city,theater_count,estimated_city_gross
Out of the Furnace,New York,50,"$95,715.57"
Minions,New York,50,"$2,839,699.58"
Green Room,New York,50,"$27,201.88"
Lucky Number Slevin,New York,50,"$190,085.97"
Spring Breakers,New York,50,"$119,350.62"
S.W.A.T.,New York,50,"$988,137.05"
Pineapple Express,New York,50,"$738,063.99"
Savages,New York,50,"$400,394.38"
I Saw the Devil,New York,50,"$1,084.96"
Point Break,New York,50,"$243,221.63"
Monster,New York,50,"$291,276.40"
Lawless,New York,50,"$316,043.63"
The Hate U Give,New York,50,"$251,139.61"
Black Mass,New York,50,"$528,785.49"
Widows,New York,50,"$358,316.48"
End of Watch,New York,50,"$346,492.25"
The Forever Purge,New York,50,"$376,371.57"
Perfume: The Story of a Murderer,New York,50,"$18,787.57"
Eastern Promises,New York,50,"$144,626.50"
The Hitman's Bodyguard,New York,50,"$637,734.86"
Megamind,New York,50,"$1,254,163.79"
Dogville,New York,50,"$12,932.28"
The Mexican,New York,50,"$564,555.23"
Rambo: Last Blood,New York,50,"$159,482.50"
The Cell,New York,50,"$518,293.39"
Smokin' Aces,New York,50,"$301,362.05"
Four Brothers,New York,50,"$629,502.53"
Blow,New York,50,"$447,789.84"
The Pledge,New York,50,"$166,640.03"
Gone in 60 Seconds,New York,50,"$858,964.55"
Inferno,New York,50,"$290,214.73"
Ghost in the Shell,New York,50,"$342,775.68"
The Mule,New York,50,"$877,182.09"
The Danish Girl,New York,50,"$93,917.18"
Deja Vu,New York,50,"$541,147.81"
The Punisher,New York,50,"$284,626.52"
Felon,New York,50,$310.60
Blackhat,New York,50,"$59,973.09"
Dredd,New York,50,"$113,358.84"
Public Enemies,New York,50,"$820,566.64"
The Guard,New York,50,"$45,291.89"
Funny Games,New York,50,"$10,940.14"
The Snowman,New York,50,"$56,370.20"
Miss Congeniality,New York,50,"$902,560.65"
Sin City: A Dame to Kill For,New York,50,"$116,258.06"
Super Troopers,New York,50,"$156,232.46"
Tell No One,New York,50,"$52,199.35"
In the Bedroom,New York,50,"$303,625.67"
Good Time,New York,50,"$17,124.60"
R.I.P.D.,New York,50,"$284,090.61"
The Heat,New York,50,"$1,348,523.07"
Runaway Jury,New York,50,"$417,815.26"
Daredevil,New York,50,"$866,527.17"
The Bank Job,New York,50,"$254,022.67"
Bronson,New York,50,$885.53
The Raid: Redemption,New York,50,"$34,690.21"
The Brothers Grimsby,New York,50,"$58,003.24"
Lord of War,New York,50,"$204,072.50"
Papillon,New York,50,"$19,739.11"
Austin Powers in Goldmember,New York,50,"$1,802,523.28"
Ocean's Twelve,New York,50,"$1,060,891.32"
The Girl in the Spider's Web,New York,50,"$125,414.29"
Hitman,New York,50,"$335,374.34"
The Old Man & the Gun,New York,50,"$95,295.45"
Live by Night,New York,50,"$87,702.27"
Before the Devil Knows You're Dead,New York,50,"$59,853.94"
Alpha Dog,New York,50,"$128,692.91"
Fracture,New York,50,"$329,690.00"
Crank,New York,50,"$235,171.78"
Kiss Kiss Bang Bang,New York,50,"$35,861.16"
Bolt,New York,50,"$963,791.04"
Freedom Writers,New York,50,"$309,329.63"
The Girl with the Dragon Tattoo,New York,50,"$85,307.58"
Charlie's Angels,New York,50,"$1,058,873.93"
Inherent Vice,New York,50,"$68,540.46"
The Transporter,New York,50,"$213,763.47"
The Pink Panther,New York,50,"$694,841.31"
RoboCop,New York,50,"$495,248.89"
Walking Tall,New York,50,"$392,414.30"
Ocean's Thirteen,New York,50,"$989,996.75"
CHIPS,New York,50,"$157,177.53"
Going in Style,New York,50,"$380,421.79"
The American,New York,50,"$300,885.83"
Frequency,New York,50,"$380,351.96"
The Family,New York,50,"$311,976.35"
Killing Them Softly,New York,50,"$126,975.22"
Muppets Most Wanted,New York,50,"$432,514.49"
The Best Offer,New York,50,$721.94
Calvary,New York,50,"$30,365.94"
The Taking of Pelham 123,New York,50,"$553,094.01"
Pain & Gain,New York,50,"$421,462.95"
You Were Never Really Here,New York,50,"$21,325.35"
Be Cool,New York,50,"$473,615.79"
Kick-Ass 2,New York,50,"$243,335.74"
Horrible Bosses 2,New York,50,"$460,081.55"
Chappie,New York,50,"$266,770.91"
Triple 9,New York,50,"$106,701.59"
Stand Up Guys,New York,50,"$27,894.95"
Miami Vice,New York,50,"$536,177.77"
Boiler Room,New York,50,"$143,133.30"
Don't Breathe 2,New York,50,"$275,802.38"
The Judge,New York,50,"$398,174.65"
War,New York,50,"$190,017.71"
Brick,New York,50,"$17,412.67"
Despicable Me 2,New York,50,"$3,110,241.26"
21 Grams,New York,50,"$137,659.99"
Bastille Day,New York,50,$329.56
The Next Three Days,New York,50,"$178,713.20"
Takers,New York,50,"$487,962.27"
The Number 23,New York,50,"$297,394.08"
Drishyam,New York,50,"$6,248.84"
All the Money in the World,New York,50,"$212,156.79"
White Boy Rick,New York,50,"$202,902.60"
Identity Thief,New York,50,"$1,136,628.63"
Halloween,New York,50,"$1,346,493.53"
Green Street Hooligans,New York,50,"$2,907.72"
Machete,New York,50,"$224,725.24"
The Big Bounce,New York,50,"$54,685.45"
Regression,New York,50,$462.52
Panic Room,New York,50,"$814,589.84"
Revolver,New York,50,$637.32
Once Upon a Time in Mexico,New York,50,"$476,259.06"
The Hunted,New York,50,"$289,327.76"
Frailty,New York,50,"$110,731.75"
A Most Violent Year,New York,50,"$48,507.55"
"Roman J. Israel, Esq.",New York,50,"$101,088.93"
Tower Heist,New York,50,"$659,519.72"
Despicable Me 3,New York,50,"$2,236,164.18"
Phone Booth,New York,50,"$393,500.13"
RED 2,New York,50,"$450,086.51"
ATL,New York,50,"$178,809.86"
Official Secrets,New York,50,"$3,342.20"
Deliver Us from Evil,New York,50,"$258,386.95"
The Whole Nine Yards,New York,50,"$483,887.28"
