movie,city,theater_count,estimated_city_gross
Side Effects,Chicago,50,"$91,790.21"
Fruitvale Station,Chicago,50,"$45,927.81"
22 Jump Street,Chicago,50,"$546,983.21"
Burn After Reading,Chicago,50,"$172,196.30"
3:10 to Yuma,Chicago,50,"$152,942.75"
Broken City,Chicago,50,"$56,208.24"
Running Scared,Chicago,50,"$19,557.99"
RocknRolla,Chicago,50,"$16,246.36"
Captain Phillips,Chicago,50,"$305,563.17"
Out of the Furnace,Chicago,50,"$32,315.93"
Minions,Chicago,50,"$958,752.49"
Green Room,Chicago,50,"$9,184.02"
Lucky Number Slevin,Chicago,50,"$64,177.70"
Spring Breakers,Chicago,50,"$40,295.71"
S.W.A.T.,Chicago,50,"$333,619.40"
Pineapple Express,Chicago,50,"$249,188.57"
Savages,Chicago,50,"$135,183.00"
I Saw the Devil,Chicago,50,$366.31
Point Break,Chicago,50,"$82,117.61"
Monster,Chicago,50,"$98,342.08"
Lawless,Chicago,50,"$106,704.11"
The Hate U Give,Chicago,50,"$84,790.92"
Black Mass,Chicago,50,"$178,531.00"
Widows,Chicago,50,"$120,976.46"
End of Watch,Chicago,50,"$116,984.31"
The Forever Purge,Chicago,50,"$127,072.31"
Perfume: The Story of a Murderer,Chicago,50,"$6,343.15"
Eastern Promises,Chicago,50,"$48,829.47"
The Hitman's Bodyguard,Chicago,50,"$215,314.99"
Megamind,Chicago,50,"$423,436.57"
Dogville,Chicago,50,"$4,366.25"
The Mexican,Chicago,50,"$190,607.74"
Rambo: Last Blood,Chicago,50,"$53,845.22"
The Cell,Chicago,50,"$174,988.61"
Smokin' Aces,Chicago,50,"$101,747.25"
Four Brothers,Chicago,50,"$212,535.55"
Blow,Chicago,50,"$151,184.87"
The Pledge,Chicago,50,"$56,261.78"
Gone in 60 Seconds,Chicago,50,"$290,007.58"
Inferno,Chicago,50,"$97,983.64"
Ghost in the Shell,Chicago,50,"$115,729.51"
The Mule,Chicago,50,"$296,158.27"
The Danish Girl,Chicago,50,"$31,708.75"
Deja Vu,Chicago,50,"$182,704.82"
The Punisher,Chicago,50,"$96,096.92"
Felon,Chicago,50,$104.87
Blackhat,Chicago,50,"$20,248.39"
Dredd,Chicago,50,"$38,272.73"
Public Enemies,Chicago,50,"$277,043.50"
The Guard,Chicago,50,"$15,291.66"
Funny Games,Chicago,50,"$3,693.66"
The Snowman,Chicago,50,"$19,031.97"
Miss Congeniality,Chicago,50,"$304,726.70"
Sin City: A Dame to Kill For,Chicago,50,"$39,251.58"
Super Troopers,Chicago,50,"$52,747.93"
Tell No One,Chicago,50,"$17,623.78"
In the Bedroom,Chicago,50,"$102,511.50"
Good Time,Chicago,50,"$5,781.69"
R.I.P.D.,Chicago,50,"$95,915.99"
The Heat,Chicago,50,"$455,294.59"
Runaway Jury,Chicago,50,"$141,064.72"
Daredevil,Chicago,50,"$292,560.91"
The Bank Job,Chicago,50,"$85,764.31"
Bronson,Chicago,50,$298.98
The Raid: Redemption,Chicago,50,"$11,712.27"
The Brothers Grimsby,Chicago,50,"$19,583.32"
Lord of War,Chicago,50,"$68,899.90"
Papillon,Chicago,50,"$6,664.41"
Austin Powers in Goldmember,Chicago,50,"$608,576.24"
Ocean's Twelve,Chicago,50,"$358,183.03"
The Girl in the Spider's Web,Chicago,50,"$42,342.95"
Hitman,Chicago,50,"$113,230.63"
The Old Man & the Gun,Chicago,50,"$32,174.09"
Live by Night,Chicago,50,"$29,610.45"
Before the Devil Knows You're Dead,Chicago,50,"$20,208.16"
Alpha Dog,Chicago,50,"$43,449.89"
Fracture,Chicago,50,"$111,311.46"
Crank,Chicago,50,"$79,399.78"
Kiss Kiss Bang Bang,Chicago,50,"$12,107.61"
Bolt,Chicago,50,"$325,399.58"
Freedom Writers,Chicago,50,"$104,437.30"
The Girl with the Dragon Tattoo,Chicago,50,"$28,801.94"
Charlie's Angels,Chicago,50,"$357,501.91"
Inherent Vice,Chicago,50,"$23,140.95"
The Transporter,Chicago,50,"$72,171.81"
The Pink Panther,Chicago,50,"$234,595.53"
RoboCop,Chicago,50,"$167,208.22"
Walking Tall,Chicago,50,"$132,488.73"
Ocean's Thirteen,Chicago,50,"$334,247.28"
CHIPS,Chicago,50,"$53,067.00"
Going in Style,Chicago,50,"$128,439.76"
The American,Chicago,50,"$101,586.46"
Frequency,Chicago,50,"$128,416.19"
The Family,Chicago,50,"$105,330.90"
Killing Them Softly,Chicago,50,"$42,869.96"
Muppets Most Wanted,Chicago,50,"$146,027.54"
The Best Offer,Chicago,50,$243.74
Calvary,Chicago,50,"$10,252.29"
The Taking of Pelham 123,Chicago,50,"$186,738.16"
Pain & Gain,Chicago,50,"$142,296.27"
You Were Never Really Here,Chicago,50,"$7,199.96"
Be Cool,Chicago,50,"$159,904.35"
Kick-Ass 2,Chicago,50,"$82,156.14"
Horrible Bosses 2,Chicago,50,"$155,334.86"
Chappie,Chicago,50,"$90,068.43"
Triple 9,Chicago,50,"$36,025.08"
Stand Up Guys,Chicago,50,"$9,418.02"
Miami Vice,Chicago,50,"$181,026.82"
Boiler Room,Chicago,50,"$48,325.33"
Don't Breathe 2,Chicago,50,"$93,117.67"
The Judge,Chicago,50,"$134,433.56"
War,Chicago,50,"$64,154.66"
Brick,Chicago,50,"$5,878.95"
Despicable Me 2,Chicago,50,"$1,050,094.03"
21 Grams,Chicago,50,"$46,477.40"
Bastille Day,Chicago,50,$111.27
The Next Three Days,Chicago,50,"$60,337.98"
Takers,Chicago,50,"$164,748.08"
The Number 23,Chicago,50,"$100,407.56"
Drishyam,Chicago,50,"$2,109.76"
All the Money in the World,Chicago,50,"$71,629.36"
White Boy Rick,Chicago,50,"$68,504.91"
Identity Thief,Chicago,50,"$383,753.81"
Halloween,Chicago,50,"$454,609.37"
Green Street Hooligans,Chicago,50,$981.72
Machete,Chicago,50,"$75,872.77"
The Big Bounce,Chicago,50,"$18,463.15"
Regression,Chicago,50,$156.16
Panic Room,Chicago,50,"$275,025.58"
Revolver,Chicago,50,$215.18
Once Upon a Time in Mexico,Chicago,50,"$160,796.79"
The Hunted,Chicago,50,"$97,684.17"
Frailty,Chicago,50,"$37,385.76"
A Most Violent Year,Chicago,50,"$16,377.34"
"Roman J. Israel, Esq.",Chicago,50,"$34,130.11"
Tower Heist,Chicago,50,"$222,670.10"
Despicable Me 3,Chicago,50,"$754,984.08"
Phone Booth,Chicago,50,"$132,855.33"
RED 2,Chicago,50,"$151,960.29"
ATL,Chicago,50,"$60,370.61"
Official Secrets,Chicago,50,"$1,128.41"
Deliver Us from Evil,Chicago,50,"$87,237.79"
The Whole Nine Yards,Chicago,50,"$163,372.26"
Man on a Ledge,Chicago,50,"$53,123.63"
Notes on a Scandal,Chicago,50,"$49,952.96"
Disturbia,Chicago,50,"$228,841.57"
The Mechanic,Chicago,50,"$83,084.84"
Super,Chicago,50,$919.13
The Raid 2,Chicago,50,"$7,495.54"
Big Eyes,Chicago,50,"$41,311.40"
Homefront,Chicago,50,"$57,513.01"
Gangster Squad,Chicago,50,"$131,242.48"
Shoplifters,Chicago,50,"$9,453.59"
Elephant,Chicago,50,"$3,500.68"
Hoodwinked!,Chicago,50,"$146,608.13"
Snowden,Chicago,50,"$61,590.09"
The Black Dahlia,Chicago,50,"$64,245.71"
Sexy Beast,Chicago,50,"$19,817.39"
Into the Blue,Chicago,50,"$52,702.42"
Rush Hour 2,Chicago,50,"$645,256.07"
Nerve,Chicago,50,"$110,080.68"
Miss Congeniality 2: Armed & Fabulous,Chicago,50,"$138,309.76"
Heartbreakers,Chicago,50,"$115,082.01"
This Is England,Chicago,50,$935.57
The Devil's Rejects,Chicago,50,"$48,630.04"
A Scanner Darkly,Chicago,50,"$15,696.34"
The Raven,Chicago,50,"$45,672.26"
30 Minutes or Less,Chicago,50,"$105,716.38"
Wild Card,Chicago,50,$9.13
The Score,Chicago,50,"$202,765.32"
Lady Vengeance,Chicago,50,$603.89
The Texas Chainsaw Massacre,Chicago,50,"$229,874.27"
Let's Be Cops,Chicago,50,"$235,064.29"
The Infiltrator,Chicago,50,"$44,010.65"
Everybody Knows,Chicago,50,"$7,589.56"
The Losers,Chicago,50,"$67,276.81"
Intolerable Cruelty,Chicago,50,"$100,791.19"
Only God Forgives,Chicago,50,"$2,221.28"
Bully,Chicago,50,"$4,387.04"
Confessions of a Dangerous Mind,Chicago,50,"$45,658.86"
A Single Man,Chicago,50,"$26,153.44"
Dancer in the Dark,Chicago,50,"$11,937.23"
Snakes on a Plane,Chicago,50,"$97,062.79"
Swordfish,Chicago,50,"$199,065.17"
